,0,1,2,3,4,5,6
0,0.035,0.033,0.033,0.033,0.033,0.033,0.033
1,0.035,0.033,0.033,0.033,0.033,0.033,0.033
2,0.035,0.033,0.033,0.033,0.033,0.033,0.033
3,0.035,0.033,0.144,0.033,0.033,0.033,0.033
4,0.035,0.033,0.033,0.033,0.033,0.033,0.033
5,0.035,0.033,0.033,0.033,0.033,0.033,0.033
6,0.035,0.033,0.033,0.033,0.033,0.033,0.033
7,0.035,0.033,0.033,0.033,0.033,0.033,0.033
8,0.035,0.033,0.174,0.144,0.033,0.033,0.033
9,0.336,0.246,0.304,0.239,0.144,0.035,0.035
10,0.336,0.316,0.304,0.223,0.158,0.037,0.037
11,0.336,0.174,0.304,0.223,0.144,0.033,0.033
12,0.336,0.25,0.239,0.144,0.144,0.033,0.033
13,0.336,0.174,0.239,0.223,0.144,0.033,0.033
14,0.336,0.144,0.304,0.033,0.144,0.033,0.033
15,0.336,0.174,0.307,0.239,0.177,0.033,0.033
16,0.336,0.144,0.293,0.223,0.174,0.033,0.033
17,0.336,0.174,0.293,0.223,0.144,0.033,0.033
18,0.336,0.144,0.144,0.144,0.033,0.033,0.033
19,0.336,0.033,0.033,0.033,0.033,0.033,0.033
20,0.035,0.033,0.033,0.033,0.033,0.033,0.033
21,0.035,0.033,0.033,0.033,0.033,0.033,0.033
22,0.035,0.033,0.033,0.033,0.033,0.033,0.033
23,0.035,0.033,0.033,0.033,0.033,0.033,0.033
