,cluster,week,day,hour,minute,wk_ago,day_ago,target
0,0,32,3,16,0,50,50,20
1,0,32,3,16,10,50,20,20
2,0,32,4,10,0,10,30,20
3,0,32,4,10,10,10,30,50
4,0,32,4,10,20,10,30,50
5,0,32,4,10,30,20,30,50
6,0,32,4,10,40,20,30,30
7,0,32,4,10,50,30,30,50
8,0,32,4,11,0,30,30,30
9,0,32,4,11,10,20,0,30
10,0,32,4,11,20,30,0,40
11,0,32,4,11,30,30,30,50
12,0,32,4,11,40,30,30,20
13,0,32,4,11,50,30,30,30
14,0,32,4,12,0,30,10,50
15,0,32,4,12,10,10,30,50
16,0,32,4,12,20,20,20,50
17,0,32,4,12,30,10,30,20
18,0,32,4,12,40,10,0,10
19,0,32,4,12,50,10,10,10
20,0,32,4,13,0,20,30,10
21,0,32,4,13,10,10,30,10
22,0,32,4,13,20,10,70,20
23,0,32,4,13,30,20,50,10
24,0,32,4,13,40,20,30,10
25,0,32,4,13,50,10,50,10
26,0,32,4,14,0,30,60,20
27,0,32,4,14,10,50,30,10
28,0,32,4,14,20,20,50,10
29,0,32,4,14,30,60,30,10
30,0,32,4,14,40,30,30,10
31,0,32,4,14,50,50,20,10
32,0,32,4,15,0,60,30,10
33,0,32,4,15,10,30,30,10
34,0,32,4,15,20,60,20,20
35,0,32,4,15,30,60,30,30
36,0,33,2,11,0,30,30,20
37,0,33,2,11,10,50,30,20
38,0,33,2,11,20,30,10,20
39,0,33,2,11,30,20,0,20
40,0,33,2,11,40,30,10,30
41,0,33,2,11,50,20,10,50
42,0,33,2,12,0,40,20,30
43,0,33,2,12,10,50,10,20
44,0,33,2,12,20,30,10,20
45,0,33,2,12,30,30,20,0
46,0,33,2,12,40,20,30,0
47,0,33,2,12,50,30,20,20
48,0,33,2,13,0,20,30,20
49,0,33,2,13,10,20,30,20
50,0,33,2,13,20,20,50,10
51,0,33,2,13,30,20,30,20
52,0,33,2,13,40,20,30,10
53,0,33,2,13,50,20,50,30
54,0,33,2,14,0,30,30,30
55,0,33,2,14,10,20,30,20
56,0,33,2,14,20,20,20,30
57,0,33,2,14,30,10,50,10
58,0,33,2,14,40,10,20,20
59,0,33,2,14,50,10,30,30
60,0,33,2,15,0,20,30,10
61,0,33,2,15,10,10,30,0
62,0,33,2,15,20,10,30,0
63,0,33,2,15,30,20,40,10
64,0,33,2,15,40,0,10,10
65,0,33,2,15,50,20,10,10
66,0,33,2,16,0,50,50,10
67,0,33,2,16,10,20,20,10
68,0,33,2,16,20,30,10,0
69,0,33,2,16,30,10,10,10
70,0,33,2,16,40,30,20,10
71,0,33,2,16,50,10,0,10
174,0,33,3,10,0,30,20,20
175,0,33,3,10,10,30,20,50
176,0,33,3,10,20,30,20,30
177,0,33,3,10,30,30,30,20
178,0,33,3,10,40,30,20,30
179,0,33,3,10,50,30,20,30
180,0,33,3,11,0,30,20,30
181,0,33,3,11,10,0,20,50
182,0,33,3,11,20,0,20,30
183,0,33,3,11,30,30,20,30
184,0,33,3,11,40,30,30,20
185,0,33,3,11,50,30,50,20
186,0,33,3,12,0,10,30,20
187,0,33,3,12,10,30,20,30
188,0,33,3,12,20,20,20,30
189,0,33,3,12,30,30,0,20
190,0,33,3,12,40,0,0,20
191,0,33,3,12,50,10,20,20
192,0,33,3,13,0,30,20,20
193,0,33,3,13,10,30,20,10
194,0,33,3,13,20,70,10,10
195,0,33,3,13,30,50,20,20
196,0,33,3,13,40,30,10,10
197,0,33,3,13,50,50,30,10
198,0,33,3,14,0,60,30,20
199,0,33,3,14,10,30,20,20
200,0,33,3,14,20,50,30,20
201,0,33,3,14,30,30,10,20
202,0,33,3,14,40,30,20,60
203,0,33,3,14,50,20,30,20
204,0,33,3,15,0,30,10,20
205,0,33,3,15,10,30,0,10
206,0,33,3,15,20,20,0,20
207,0,33,3,15,30,30,10,30
208,0,33,3,15,40,20,10,50
209,0,33,3,15,50,10,10,50
210,0,33,3,16,0,20,10,30
211,0,33,3,16,10,20,10,20
212,0,33,3,16,20,30,0,10
213,0,33,3,16,30,30,10,30
214,0,33,3,16,40,20,10,30
215,0,33,3,16,50,30,10,20
318,0,33,4,10,0,20,20,10
319,0,33,4,10,10,50,50,10
320,0,33,4,10,20,50,30,20
321,0,33,4,10,30,50,20,0
322,0,33,4,10,40,30,30,0
323,0,33,4,10,50,50,30,0
324,0,33,4,11,0,30,30,0
325,0,33,4,11,10,30,50,0
326,0,33,4,11,20,40,30,10
327,0,33,4,11,30,50,30,10
328,0,33,4,11,40,20,20,20
329,0,33,4,11,50,30,20,20
330,0,33,4,12,0,50,20,30
331,0,33,4,12,10,50,30,0
332,0,33,4,12,20,50,30,20
333,0,33,4,12,30,20,20,10
334,0,33,4,12,40,10,20,10
335,0,33,4,12,50,10,20,10
336,0,33,4,13,0,10,20,0
337,0,33,4,13,10,10,10,10
338,0,33,4,13,20,20,10,20
339,0,33,4,13,30,10,20,20
340,0,33,4,13,40,10,10,30
341,0,33,4,13,50,10,10,30
342,0,33,4,14,0,20,20,30
343,0,33,4,14,10,10,20,30
344,0,33,4,14,20,10,20,20
345,0,33,4,14,30,10,20,10
346,0,33,4,14,40,10,60,10
347,0,33,4,14,50,10,20,30
348,0,33,4,15,0,10,20,30
349,0,33,4,15,10,10,10,30
350,0,33,4,15,20,20,20,30
351,0,33,4,15,30,30,30,10
352,0,33,4,15,40,20,50,10
353,0,33,4,15,50,20,50,10
354,0,33,4,16,0,20,30,10
355,0,33,4,16,10,30,20,10
356,0,33,4,16,20,30,10,20
357,0,33,4,16,30,10,30,10
358,0,33,4,16,40,10,30,10
359,0,33,4,16,50,10,20,10
750,0,34,0,10,0,10,20,50
751,0,34,0,10,10,10,20,30
752,0,34,0,10,20,20,10,100
753,0,34,0,10,30,20,10,50
754,0,34,0,10,40,20,20,30
755,0,34,0,10,50,10,20,60
756,0,34,0,11,0,60,30,60
757,0,34,0,11,10,50,30,70
758,0,34,0,11,20,80,20,100
759,0,34,0,11,30,30,30,60
760,0,34,0,11,40,70,30,50
761,0,34,0,11,50,60,50,50
762,0,34,0,12,0,50,20,50
763,0,34,0,12,10,50,10,20
764,0,34,0,12,20,10,20,40
765,0,34,0,12,30,0,10,20
766,0,34,0,12,40,10,20,50
767,0,34,0,12,50,0,30,30
768,0,34,0,13,0,20,20,50
769,0,34,0,13,10,10,10,50
770,0,34,0,13,20,20,10,50
771,0,34,0,13,30,20,30,50
772,0,34,0,13,40,10,50,80
773,0,34,0,13,50,20,30,80
774,0,34,0,14,0,10,10,80
775,0,34,0,14,10,50,20,80
